benchmark,label,regime,loss,full_mu_on,full_mu_off,full_decision,full_p_on,full_p_off,full_flow_on,full_flow_off,full_required_actual,full_region,full_gross,full_penalty,full_objective,full_access,full_wait_on,full_wait_off,full_wait_E,full_wait_initial_on,full_wait_initial_off,full_exposure,full_utility_on,full_utility_off,full_residual,full_referral_forward,full_referral_reverse,full_solver,full_regional_support,full_search_best,full_search_spread,transferred_mu_on,transferred_mu_off,transferred_decision,transferred_p_on,transferred_p_off,transferred_flow_on,transferred_flow_off,transferred_required_actual,transferred_region,transferred_gross,transferred_penalty,transferred_objective,transferred_access,transferred_wait_on,transferred_wait_off,transferred_wait_E,transferred_wait_initial_on,transferred_wait_initial_off,transferred_exposure,transferred_utility_on,transferred_utility_off,transferred_residual,transferred_referral_forward,transferred_referral_reverse
Referral-omission benchmark,L572_s15_d0.65,F1,28452.095699363657,723.751684169036,248.24831583096397,723.751684169036,23.985048351369585,40.0,535.2024815707632,0.0,30.0,BV,24917.785641191498,367.9751842923679,24549.81045689913,0.9356686740747608,0.021145834385542125,0.0323337387307738,0.04607853108137618,0.03727332026402379,0.04607853108137618,0.037740686089783176,1.7763568394002505e-15,-17.561766278427694,1.7763568394002505e-15,187.3208685497671,141.25856455734862,regional-validated,BV,24549.81045689913,0.0,708.2000001935394,263.7999998064606,708.2000001935394,31.677679873614032,40.0,0.0,0.0,30.0,B,1817.7147575354736,5720.0,-3902.285242464526,0.0,0.001452011034875822,0.004277159969323348,0.005220967141992633,0.0032793495345732433,0.005220967141992633,0.005220967141992633,-5.085471528132165,-16.414761196034405,0.0,0.0,19.5
Referral-omission benchmark,L572_s15_d0.8,F2,27318.324029523803,730.958802495498,241.04119750450195,730.958802495498,12.017736590861672,80.0,514.5639905757276,0.0,30.0,BV,25011.60237158966,574.3600942427236,24437.242277346937,0.8995873961114119,0.020696694378564903,0.03231665063921746,0.04887400614206938,0.037802596528289184,0.04887400614206938,0.038412519869093005,9.769962616701378e-15,-51.89781039639729,9.769962616701378e-15,180.09739670150466,168.07791736120373,regional-validated,BV,24437.242277346937,0.0,670.4593911133375,301.54060888666254,670.4593911133375,18.288260325963954,80.0,0.0,0.0,30.0,B,2838.918247823135,5720.0,-2881.081752176865,0.0,0.0015468875752238545,0.003682690423727328,0.004920200483906412,0.0032689577445910983,0.004920200483906412,0.004920200483906412,-3.597277216933123,-50.387901378697414,0.0,0.0,24.0
Referral-omission benchmark,L572_s15_d0.8,F0,0.0,483.0,489.0,483.0,60.0,40.0,0.0,0.0,30.0,B,2640.0,5720.0,-3080.0,0.0,0.002178649237472767,0.002178649237472767,0.00392156862745098,0.0035511982570806105,0.00392156862745098,0.003921568627450981,-42.99043572984749,-43.56122004357299,0.0,0.0,24.0,regional-validated,B,-3080.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,0.0,30.0,B,2640.0,5720.0,-3080.0,0.0,0.007518759304464638,0.0012738864321753139,0.007288893875747025,0.010069872160976098,0.007288893875747025,0.007288893875747025,-43.70279385609996,-43.887693754285486,0.0,0.0,24.0
Referral-omission benchmark,L572_s15_d0.8,F1,27259.4779603802,730.9588024957408,241.04119750425923,730.9588024957408,22.95523659096858,40.00000000000001,514.5639905743606,0.0,30.0,BV,24074.10237160333,574.3600942563944,23499.742277346937,0.8995873961090219,0.02069669437771137,0.03231665063897124,0.04887400614114033,0.03780259652711049,0.04887400614114033,0.03841251986792959,5.329070518200751e-15,-20.647810396364974,5.329070518200751e-15,180.09739670102618,168.07791736082095,regional-validated,BV,23499.742277346937,0.0,708.2000001935394,263.7999998064606,708.2000001935394,31.677679873614032,40.0,0.0,0.0,30.0,B,1960.2643169667367,5720.0,-3759.7356830332633,0.0,0.0014615609466780625,0.004277159969323348,0.0054464087266657985,0.0033678040010110917,0.0054464087266657985,0.0054464087266657985,-6.758456621737944,-21.1916626345599,0.0,0.0,24.0
Referral-omission benchmark,L572_s30_d0.1,F2,,123.77502496302851,848.2249750369715,123.77502496302851,60.0,53.14152753849713,0.0,572.0,30.0,F,35603.19957817527,0.0,35603.19957817527,1.0,0.015729447225251443,0.004061326434695939,0.005634271157221083,0.01770144213027882,0.005634271157221083,0.005634271157221083,-29.26169815518526,-1.8844886340296796e-07,1.8844886340296796e-07,0.0,60.2,regional-validated,F,35603.19957817527,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Referral-omission benchmark,L572_s30_d0.1,F0,0.0,159.5006666666667,812.4993333333333,159.5006666666667,60.0,40.0,0.0,572.0,30.0,F,27692.0,0.0,27692.0,1.0,0.010070425844740886,0.004750608869703467,0.005757651454177556,0.012085603853703029,0.005757651454177556,0.005757651454177556,-24.046699565460923,13.08910894042872,0.0,0.0,60.2,regional-validated,F,27692.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,572.0,30.0,F,27692.0,0.0,27692.0,1.0,0.01033050736565175,0.004694850375118545,0.00572790111168372,0.01233527275474105,0.00572790111168372,0.00572790111168372,-24.073569615883315,13.095563454484784,0.0,0.0,60.2
Referral-omission benchmark,L572_s30_d0.1,F1,887.8126590118227,731.770149337964,240.22985066203603,731.770149337964,31.680988195119525,40.0,572.0,0.0,30.0,V,28058.82159586002,0.0,28058.82159586002,1.0,0.007312606273859361,0.09970238178970074,0.10043364241708667,0.042464381119839696,0.10043364241708667,0.045353214739303836,-1.5044888801440948e-07,-1.5044890133708577e-07,1.5044888801440948e-07,200.2,23.02,regional-validated,V,28058.82159586002,0.0,733.3999998494282,238.60000015057176,733.3999998494282,31.806071995956735,40.0,549.1429558751256,6.370114848009167,30.0,BVF,27335.87822961685,164.86929276865226,27171.008936848197,0.9711766970684175,0.006195785750386292,0.09970238095238115,0.10032195952741978,0.041308471584983214,0.10032195952741978,0.044974192200574616,-1.2434497875801753e-14,-3.197442310920451e-14,3.197442310920451e-14,192.20003455629396,22.85701494043031
Referral-omission benchmark,L572_s30_d0.2,F2,,187.16273439468318,784.8372656053168,187.16273439468318,60.0,46.745633769421,0.0,572.0,30.0,F,35364.87152919144,0.0,35364.87152919144,1.0,0.014978415864279483,0.005469344538102305,0.008465027710958202,0.017941175563114854,0.008465027710958202,0.008465027710958202,-29.17758263531302,-1.671820455406703e-07,1.671820455406703e-07,0.0,120.4,regional-validated,F,35364.87152919144,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Referral-omission benchmark,L572_s30_d0.2,F0,0.0,162.0006666666667,809.9993333333333,162.0006666666667,60.0,40.0,0.0,572.0,30.0,F,31304.0,0.0,31304.0,1.0,0.024038076312879592,0.004807707717011914,0.009615322979587834,0.027403439355735335,0.009615322979587834,0.009615322979587834,-27.863416279095794,6.653852194133496,0.0,0.0,120.4,regional-validated,F,31304.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,572.0,30.0,F,31304.0,0.0,31304.0,1.0,0.027321906704795892,0.004694850375118545,0.010159231716077723,0.030877637805423096,0.010159231716077723,0.010159231716077723,-28.250314501559714,6.5992544267926565,0.0,0.0,120.4
Referral-omission benchmark,L572_s30_d0.2,F1,4399.15237336576,245.19999999999996,726.8000000000001,245.19999999999996,60.0,40.0,0.0,572.0,30.0,F,31304.0,0.0,31304.0,1.0,0.008012820512820516,0.008012820512820509,0.009615384615384612,0.011378205128205131,0.009615384615384612,0.009615384615384612,-26.13141025641026,6.474358974358975,0.0,0.0,120.4,regional-validated,F,31304.0,0.0,733.3999998494282,238.60000015057176,733.3999998494282,31.806071995956735,40.0,526.7688596743305,11.78645482011163,30.0,BVF,27239.29448168982,334.446855055578,26904.84762663424,0.9415302700951786,0.006195785750386296,0.08035714285714278,0.08159630000722004,0.03475449075291331,0.08159630000722004,0.03819716923326107,4.440892098500626e-15,1.2434497875801753e-14,1.2434497875801753e-14,184.36910088601567,45.23111114122546
