group,label,regime,demand,required,d1,d2,gamma,dE,value,premium,travel,preference,cost_on,cost_off,capacity,cap_on,cap_off,penalty,followup_fee,copay,revenue_E,elasticity,recurrent,servers,nu,mu_on,mu_off,decision,p_on,p_off,flow_on,flow_off,required_actual,region,gross,objective,access,wait_on,wait_off,wait_E,wait_initial_on,wait_initial_off,exposure,utility_on,utility_off,residual,referral_forward,referral_reverse,regional_support,regional_target_v,regional_target_f,regional_nfev,solver,search_best,search_spread,regional_candidates
referral,L878_s15_d0.5,fixed,878.0,30.0,0.35,0.5,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,8780.0,1.0,1.0,1.0,0.0,False,0,54.0,478.5,493.5,478.5,60.0,40.0,0.0,0.0,30.0,B,2100.0,-6680.0,0.0,0.002157497303128371,0.002157497303128371,0.0032362459546925564,0.0032901833872707657,0.0032362459546925564,0.003236245954692556,-36.660787486515645,-25.483279395900755,0.0,0.0,15.0,B,,,,regional-validated,-6680.0,0.0,
referral,L878_s15_d0.5,online,878.0,30.0,0.35,0.5,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,3207.221220512424,1.0,1.0,1.0,0.0,False,0,54.0,716.0431181728704,255.95688182712956,716.0431181728704,25.107879428295035,39.99999999999999,557.2778779487576,0.0,30.0,BV,25819.185759629414,22611.96453911699,0.634712845044143,0.02162554387195922,0.03235238262250836,0.043165154558487975,0.03673334796743001,0.043165154558487975,0.03706190486524078,8.881784197001252e-15,-14.200170451558632,8.881784197001252e-15,195.04725728206515,112.52362864103257,BV,,,,regional-validated,22611.96453911699,0.0,
referral,L878_s15_d0.65,dual,878.0,30.0,0.35,0.65,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,3427.9751666873162,1.0,1.0,1.0,0.0,False,0,54.0,723.751684647669,248.24831535233102,723.751684647669,12.579752896604205,80.0,535.2024833312684,0.0,30.0,BV,25895.382364930636,22467.40719824332,0.6095700265731986,0.021145835137815316,0.03233373987536533,0.04607853271494529,0.037273321588046165,0.04607853271494529,0.037740687428780006,7.105427357601002e-15,-50.148324479887066,7.105427357601002e-15,187.32086916594392,141.25856495786354,BV,,,,regional-validated,22467.40719824332,0.0,
referral,L878_s15_d0.65,fixed,878.0,30.0,0.35,0.65,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,8780.0,1.0,1.0,1.0,0.0,False,0,54.0,480.75000000000006,491.24999999999994,480.75000000000006,60.0,40.0,0.0,0.0,30.0,B,2370.0,-6410.0,0.0,0.0021680216802168017,0.0021680216802168026,0.0035772357723577236,0.003420054200542005,0.0035772357723577236,0.0035772357723577236,-39.82553929539296,-34.52205962059621,0.0,0.0,19.5,B,,,,regional-validated,-6410.0,0.0,
referral,L878_s15_d0.65,online,878.0,30.0,0.35,0.65,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,3427.9751666773313,1.0,1.0,1.0,0.0,False,0,54.0,723.7516846512419,248.24831534875807,723.7516846512419,23.9850482122076,40.0,535.2024833322669,0.0,30.0,BV,24917.785623576456,21489.810456899126,0.6095700265743358,0.021145835136765732,0.03233373987946611,0.04607853271836384,0.037273321588193076,0.04607853271836384,0.037740687429099744,2.6645352591003757e-15,-17.561766435641793,2.6645352591003757e-15,187.3208691662934,141.2585649580907,BV,,,,regional-validated,21489.810456899126,0.0,
referral,L878_s15_d0.8,dual,878.0,30.0,0.35,0.8,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,3634.360098375264,1.0,1.0,1.0,0.0,False,0,54.0,730.9588023768559,241.04119762314406,730.9588023768559,12.01773662317821,80.0,514.5639901624736,0.0,30.0,BV,25011.602375722206,21377.242277346944,0.5860637701167125,0.020696694202801715,0.03231665036425575,0.048874005726497124,0.037802596207075705,0.048874005726497124,0.03841251954314416,-8.881784197001252e-16,-51.89781036030857,8.881784197001252e-16,180.09739655686576,168.07791724549259,BV,,,,regional-validated,21377.242277346944,0.0,
referral,L878_s15_d0.8,fixed,878.0,30.0,0.35,0.8,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,8780.0,1.0,1.0,1.0,0.0,False,0,54.0,483.0,489.0,483.0,60.0,40.0,0.0,0.0,30.0,B,2640.0,-6140.0,0.0,0.002178649237472767,0.002178649237472767,0.00392156862745098,0.0035511982570806105,0.00392156862745098,0.003921568627450981,-42.99043572984749,-43.56122004357299,0.0,0.0,24.0,B,,,,regional-validated,-6140.0,0.0,
referral,L878_s15_d0.8,online,878.0,30.0,0.35,0.8,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,3634.360098510947,1.0,1.0,1.0,0.0,False,0,54.0,730.9588023729647,241.04119762703533,730.9588023729647,22.95523662423924,40.00000000000002,514.5639901489053,0.0,30.0,BV,24074.10237585788,20439.742277346933,0.5860637701012589,0.020696694197029186,0.03231665035523222,0.04887400571285557,0.037802596196528634,0.04887400571285557,0.038412519532441805,8.881784197001252e-16,-20.64781035912424,8.881784197001252e-16,180.09739655211683,168.07791724169348,BV,,,,regional-validated,20439.742277346933,0.0,
referral,L878_s30_d0,dual,878.0,30.0,0.35,0.0,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,0.0,1.0,1.0,1.0,0.0,False,0,54.0,0.001,971.999,0.001,-0.0,57.374958983734125,0.0,878.0,30.0,F,52096.46275723058,52096.46275723058,1.0,1000.0,0.015625244144439752,0.015625244144439752,1000.0054688354505,0.015625244144439752,0.015625244144439752,-111967.5,-3.1086244689504383e-15,3.1086244689504383e-15,0.0,0.0,F,,,,regional-validated,52096.46275723058,0.0,
referral,L878_s30_d0,fixed,878.0,30.0,0.35,0.0,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,0.0,1.0,1.0,1.0,0.0,False,0,54.0,52.33422222222225,919.6657777777777,52.33422222222225,60.0,40.0,0.0,878.0,30.0,F,36320.0,36320.0,1.0,0.019107955703512456,0.08572081682413919,0.08572081682413919,0.04911024159196117,0.08572081682413919,0.08572081682413919,-27.68047506805278,5.598902773544616,0.0,0.0,0.0,F,,,,regional-validated,36320.0,0.0,
